SHOT_MADE_FLAG,SHOT_ATTEMPTED_FLAG,SEASON,X_ID
249,426,2015,101161
433,764,2015,101162
115,300,2015,101179
209,455,2015,101181
21,59,2015,101187
1,2,2015,101236
127,279,2015,200745
536,1045,2015,200746
169,482,2015,200751
466,1007,2015,200752
419,872,2015,200755
188,371,2015,200757
355,782,2015,200765
512,1195,2015,200768
42,100,2015,200770
8,18,2015,200779
239,582,2015,200782
501,1066,2015,200794
49,79,2015,200797
19,53,2015,200811
317,711,2015,200826
698,1381,2015,201142
529,1048,2015,201143
294,696,2015,201144
354,823,2015,201145
212,550,2015,201147
35,52,2015,201148
51,133,2015,201149
124,306,2015,201150
495,963,2015,201152
182,442,2015,201155
126,369,2015,201156
245,635,2015,201158
244,503,2015,201160
233,487,2015,201162
188,469,2015,201166
354,797,2015,201167
81,155,2015,201168
139,250,2015,201171
55,148,2015,201177
328,707,2015,201188
280,591,2015,201196
6,10,2015,201202
47,137,2015,201228
128,331,2015,201229
107,205,2015,201563
119,316,2015,201564
447,1048,2015,201565
656,1444,2015,201566
408,976,2015,201567
287,700,2015,201568
231,551,2015,201569
147,349,2015,201571
591,1157,2015,201572
183,432,2015,201573
52,108,2015,201574
110,259,2015,201575
357,662,2015,201577
197,456,2015,201578
182,411,2015,201579
77,134,2015,201580
80,155,2015,201581
150,315,2015,201582
397,929,2015,201583
290,639,2015,201584
236,444,2015,201585
416,869,2015,201586
372,873,2015,201587
325,736,2015,201588
221,489,2015,201589
19,50,2015,201593
182,444,2015,201596
357,508,2015,201599
104,195,2015,201600
93,204,2015,201601
42,109,2015,201603
417,875,2015,201609
9,17,2015,201619
136,333,2015,201627
301,603,2015,201933
710,1617,2015,201935
136,314,2015,201936
218,585,2015,201937
804,1596,2015,201939
278,549,2015,201941
614,1376,2015,201942
112,304,2015,201943
232,529,2015,201945
32,71,2015,201946
114,240,2015,201949
410,934,2015,201950
139,354,2015,201951
434,987,2015,201952
377,776,2015,201954
299,622,2015,201956
263,500,2015,201959
105,270,2015,201960
218,561,2015,201961
182,443,2015,201962
12,22,2015,201965
186,412,2015,201967
28,68,2015,201971
118,286,2015,201973
7,20,2015,201975
258,594,2015,201976
216,541,2015,201977
104,239,2015,201978
210,559,2015,201980
260,612,2015,201988
201,505,2015,202066
331,854,2015,202083
132,255,2015,202087
571,1347,2015,202322
343,753,2015,202323
418,811,2015,202324
202,507,2015,202325
601,1332,2015,202326
491,941,2015,202328
299,718,2015,202329
521,1202,2015,202330
603,1445,2015,202331
134,225,2015,202332
206,337,2015,202334
204,492,2015,202335
122,289,2015,202337
84,205,2015,202338
223,492,2015,202339
456,1018,2015,202340
67,178,2015,202341
2,10,2015,202343
190,388,2015,202344
45,138,2015,202349
11,25,2015,202353
413,682,2015,202355
110,235,2015,202357
228,474,2015,202362
26,48,2015,202379
153,349,2015,202388
203,359,2015,202389
151,324,2015,202390
300,728,2015,202391
397,967,2015,202397
11,39,2015,202407
169,381,2015,202498
394,879,2015,202681
253,564,2015,202682
414,719,2015,202683
247,420,2015,202684
303,536,2015,202685
156,288,2015,202687
371,894,2015,202688
568,1331,2015,202689
2,5,2015,202690
651,1386,2015,202691
137,334,2015,202692
305,718,2015,202693
410,945,2015,202694
551,1088,2015,202695
533,1046,2015,202696
114,304,2015,202697
417,889,2015,202699
90,205,2015,202700
349,626,2015,202702
248,609,2015,202703
540,1244,2015,202704
49,116,2015,202706
196,484,2015,202708
257,584,2015,202709
470,1035,2015,202710
324,748,2015,202711
4,10,2015,202712
86,221,2015,202713
182,415,2015,202714
320,651,2015,202718
224,466,2015,202720
9,20,2015,202726
191,370,2015,202730
187,389,2015,202734
591,1382,2015,202738
18,32,2015,202962
560,1136,2015,203076
33,61,2015,203077
359,798,2015,203078
282,705,2015,203079
130,291,2015,203080
618,1473,2015,203081
270,623,2015,203082
552,1060,2015,203083
295,633,2015,203084
226,514,2015,203085
195,434,2015,203086
230,510,2015,203087
43,118,2015,203088
164,291,2015,203089
195,411,2015,203090
138,290,2015,203092
165,366,2015,203093
146,310,2015,203094
429,928,2015,203095
351,806,2015,203096
71,160,2015,203098
36,105,2015,203099
22,65,2015,203100
140,233,2015,203101
125,228,2015,203105
360,812,2015,203109
401,819,2015,203110
9,34,2015,203111
119,213,2015,203112
507,1142,2015,203114
425,983,2015,203115
176,376,2015,203118
24,66,2015,203123
129,271,2015,203124
31,75,2015,203135
270,679,2015,203138
332,777,2015,203141
17,51,2015,203142
54,146,2015,203143
319,724,2015,203145
74,165,2015,203148
33,77,2015,203156
76,133,2015,203186
72,194,2015,203187
88,228,2015,203200
230,495,2015,203210
6,11,2015,203268
194,384,2015,203382
306,587,2015,203457
264,624,2015,203458
311,677,2015,203459
136,273,2015,203460
8,27,2015,203461
176,421,2015,203462
195,455,2015,203463
641,1431,2015,203468
231,437,2015,203469
329,781,2015,203471
99,177,2015,203473
5,13,2015,203475
308,579,2015,203476
260,722,2015,203477
87,162,2015,203481
253,556,2015,203482
403,959,2015,203484
8,25,2015,203485
267,517,2015,203486
251,555,2015,203487
76,152,2015,203488
339,716,2015,203490
55,146,2015,203492
43,98,2015,203493
274,712,2015,203496
198,354,2015,203497
317,681,2015,203498
222,502,2015,203499
261,426,2015,203500
114,265,2015,203501
126,339,2015,203503
262,634,2015,203504
425,970,2015,203506
512,1011,2015,203507
30,74,2015,203508
28,44,2015,203512
30,78,2015,203515
54,112,2015,203516
207,511,2015,203521
93,208,2015,203524
180,418,2015,203526
55,149,2015,203527
195,380,2015,203530
88,201,2015,203546
102,224,2015,203552
89,187,2015,203584
122,242,2015,203613
3,4,2015,203648
145,408,2015,203798
7,22,2015,203893
68,201,2015,203894
34,78,2015,203895
433,959,2015,203897
84,187,2015,203898
127,322,2015,203900
318,729,2015,203901
474,1096,2015,203903
21,71,2015,203906
29,72,2015,203909
26,65,2015,203912
359,765,2015,203914
19,54,2015,203915
210,545,2015,203917
408,972,2015,203918
2,6,2015,203919
12,40,2015,203921
65,151,2015,203922
11,36,2015,203923
251,599,2015,203924
1,4,2015,203925
291,644,2015,203926
9,22,2015,203928
123,270,2015,203930
274,578,2015,203932
221,441,2015,203933
28,80,2015,203934
184,529,2015,203935
138,295,2015,203937
146,296,2015,203939
53,145,2015,203940
117,278,2015,203943
358,835,2015,203944
13,40,2015,203946
86,209,2015,203948
45,84,2015,203949
3,5,2015,203950
2,8,2015,203951
594,1294,2015,203952
443,899,2015,203953
4,10,2015,203955
11,23,2015,203956
140,316,2015,203960
3,6,2015,203961
5,12,2015,203962
5,11,2015,203963
231,397,2015,203991
101,242,2015,203994
13,36,2015,203996
1,12,2015,203998
307,600,2015,203999
373,886,2015,204001
11,19,2015,204002
25,62,2015,204014
118,243,2015,204020
96,229,2015,204025
57,104,2015,204028
231,588,2015,204038
124,291,2015,204060
20,65,2015,204067
32,77,2015,204098
218,464,2015,204456
397,781,2015,1626143
329,905,2015,1626144
56,156,2015,1626145
5,10,2015,1626146
71,175,2015,1626147
39,126,2015,1626148
58,90,2015,1626149
5,19,2015,1626151
36,80,2015,1626153
36,98,2015,1626154
391,954,2015,1626156
625,1153,2015,1626157
114,222,2015,1626158
195,461,2015,1626159
191,339,2015,1626161
90,211,2015,1626162
215,525,2015,1626163
367,867,2015,1626164
114,278,2015,1626166
264,530,2015,1626167
191,436,2015,1626168
225,598,2015,1626169
154,391,2015,1626170
186,436,2015,1626171
4,7,2015,1626172
81,265,2015,1626173
22,53,2015,1626174
8,22,2015,1626175
2,2,2015,1626176
63,138,2015,1626178
29,106,2015,1626179
97,228,2015,1626181
2,5,2015,1626183
54,116,2015,1626185
44,109,2015,1626191
13,49,2015,1626192
123,272,2015,1626196
52,131,2015,1626199
62,168,2015,1626202
158,300,2015,1626204
181,418,2015,1626209
10,24,2015,1626210
28,69,2015,1626214
5,19,2015,1626242
40,72,2015,1626245
105,174,2015,1626246
2,10,2015,1626251
25,70,2015,1626253
49,78,2015,1626257
2,4,2015,1626262
0,1,2015,1626266
97,230,2015,1626273
9,27,2015,1627293
14,39,2015,1627362
3166,6920,2015,1610612737
3216,7316,2015,1610612738
3169,6883,2015,1610612739
3152,7035,2015,1610612740
3165,7170,2015,1610612741
3062,6898,2015,1610612742
3092,7002,2015,1610612743
3486,7155,2015,1610612744
3093,6841,2015,1610612745
3128,6726,2015,1610612746
2876,6947,2015,1610612747
3148,6693,2015,1610612748
3142,6726,2015,1610612749
3094,6666,2015,1610612750
3135,6918,2015,1610612751
3021,6882,2015,1610612752
3242,7117,2015,1610612753
3135,6970,2015,1610612754
2970,6885,2015,1610612755
3050,7013,2015,1610612756
3167,7036,2015,1610612757
3283,7082,2015,1610612758
3288,6792,2015,1610612759
3372,7080,2015,1610612760
3006,6658,2015,1610612761
2957,6593,2015,1610612762
3018,6858,2015,1610612763
3237,7027,2015,1610612764
3111,7083,2015,1610612765
3036,6921,2015,1610612766
193,489,2016,1713
296,678,2016,1717
28,70,2016,1718
104,241,2016,1891
19,68,2016,1897
171,439,2016,1938
9,23,2016,2034
358,867,2016,2037
153,228,2016,2199
303,604,2016,2200
273,626,2016,2207
152,342,2016,2210
433,964,2016,2216
265,569,2016,2225
9,22,2016,2365
93,219,2016,2399
245,397,2016,2403
184,472,2016,2440
71,151,2016,2449
736,1343,2016,2544
602,1389,2016,2546
414,954,2016,2548
14,23,2016,2555
135,252,2016,2561
3,8,2016,2563
146,327,2016,2564
172,392,2016,2571
164,307,2016,2585
44,92,2016,2592
239,515,2016,2594
11,23,2016,2617
